team,gender,points,season
Carleton,Male,514.02,2017-2018
Carleton,Female,514.93,2017-2018
Concordia-Moorhead,Female,330.14,2017-2018
Gustavus,Male,592.28,2017-2018
Gustavus,Female,578,2017-2018
Hamline,Male,491.17,2017-2018
Hamline,Female,314.42,2017-2018
Macalester,Male,278.18,2017-2018
Macalester,Female,353.13,2017-2018
Saint John's/Saint Ben's,Male,501.06,2017-2018
Saint John's/Saint Ben's,Female,520.14,2017-2018
Saint Kate's,Female,471.41,2017-2018
Saint Olaf,Male,459.1,2017-2018
Saint Olaf,Female,495.08,2017-2018
Carleton,Male,529.58,2018-2019
Carleton,Female,537.05,2018-2019
Concordia-Moorhead,Female,344.71,2018-2019
Gustavus,Male,608.58,2018-2019
Gustavus,Female,579.18,2018-2019
Hamline,Male,413.9,2018-2019
Hamline,Female,252.71,2018-2019
Macalester,Male,382.19,2018-2019
Macalester,Female,400.77,2018-2019
Saint John's/Saint Ben's,Male,472.21,2018-2019
Saint John's/Saint Ben's,Female,505.51,2018-2019
Saint Kate's,Female,565.88,2018-2019
Saint Olaf,Male,474.97,2018-2019
Saint Olaf,Female,526.23,2018-2019
Carleton,Male,553.28,2019-2020
Carleton,Female,521.8,2019-2020
Concordia-Moorhead,Female,271.01,2019-2020
Gustavus,Male,624.69,2019-2020
Gustavus,Female,574.63,2019-2020
Hamline,Male,417.5,2019-2020
Hamline,Female,335.47,2019-2020
Macalester,Male,258.13,2019-2020
Macalester,Female,429.43,2019-2020
Saint John's/Saint Ben's,Male,514.99,2019-2020
Saint John's/Saint Ben's,Female,508.83,2019-2020
Saint Kate's,Female,590.53,2019-2020
Saint Olaf,Male,420.31,2019-2020
Saint Olaf,Female,510.28,2019-2020
Carleton,Male,550.6,2021-2022
Carleton,Female,521.1,2021-2022
Concordia-Moorhead,Female,302.53,2021-2022
Gustavus,Male,618.02,2021-2022
Gustavus,Female,561.51,2021-2022
Hamline,Male,178.14,2021-2022
Hamline,Female,333.44,2021-2022
Macalester,Male,409.52,2021-2022
Macalester,Female,484.42,2021-2022
Saint John's/Saint Ben's,Male,552.86,2021-2022
Saint John's/Saint Ben's,Female,498.98,2021-2022
Saint Kate's,Female,606.98,2021-2022
Saint Olaf,Male,437.9,2021-2022
Saint Olaf,Female,528.72,2021-2022
Carleton,Male,563.69,2022-2023
Carleton,Female,504.71,2022-2023
Concordia-Moorhead,Female,327.27,2022-2023
Gustavus,Male,618.27,2022-2023
Gustavus,Female,550.67,2022-2023
Hamline,Male,145.58,2022-2023
Hamline,Female,331.23,2022-2023
Macalester,Male,449.16,2022-2023
Macalester,Female,535.44,2022-2023
Saint John's/Saint Ben's,Male,566.19,2022-2023
Saint John's/Saint Ben's,Female,495.07,2022-2023
Saint Kate's,Female,564.4,2022-2023
Saint Olaf,Male,462.57,2022-2023
Saint Olaf,Female,523.77,2022-2023
Carleton,Male,569.48,2023-2024
Carleton,Female,531.83,2023-2024
Concordia-Moorhead,Female,284.29,2023-2024
Gustavus,Male,603.21,2023-2024
Gustavus,Female,545.3,2023-2024
Hamline,Male,102.79,2023-2024
Hamline,Female,192.63,2023-2024
Macalester,Male,487.59,2023-2024
Macalester,Female,540.2,2023-2024
Saint John's/Saint Ben's,Male,564.72,2023-2024
Saint John's/Saint Ben's,Female,496.15,2023-2024
Saint Kate's,Female,541.18,2023-2024
Saint Olaf,Male,458.08,2023-2024
Saint Olaf,Female,507.86,2023-2024
Carleton,Male,547.32,2024-2025
Carleton,Female,528.9,2024-2025
Concordia-Moorhead,Female,286.03,2024-2025
Gustavus,Male,608.37,2024-2025
Gustavus,Female,556.72,2024-2025
Hamline,Male,213.25,2024-2025
Hamline,Female,271.24,2024-2025
Macalester,Male,527.82,2024-2025
Macalester,Female,563.83,2024-2025
Saint John's/Saint Ben's,Male,546.55,2024-2025
Saint John's/Saint Ben's,Female,457.91,2024-2025
Saint Kate's,Female,494.65,2024-2025
Saint Olaf,Male,503.4,2024-2025
Saint Olaf,Female,516.51,2024-2025
